Slice,Count,Total Area,Average Size,%Area,Mean,,Coupon
Experimento-140-Profundidad de enfoque extendida-12-Exportar imagen-05_m06_DAPI.tif,1054,0.521,4.95E-04,3.256,255,,46
Experimento-140-Profundidad de enfoque extendida-12-Exportar imagen-05_m07_DAPI.tif,1023,0.462,4.52E-04,2.885,255,,46
Experimento-140-Profundidad de enfoque extendida-12-Exportar imagen-05_m08_DAPI.tif,927,0.481,5.19E-04,3.004,255,,46
Experimento-140-Profundidad de enfoque extendida-12-Exportar imagen-05_m09_DAPI.tif,934,0.458,4.90E-04,2.858,255,,46
Experimento-140-Profundidad de enfoque extendida-12-Exportar imagen-05_m10_DAPI.tif,998,0.598,5.99E-04,3.735,255,,46
Experimento-140-Profundidad de enfoque extendida-12-Exportar imagen-05_m11_DAPI.tif,1049,0.484,4.62E-04,3.024,255,,46
Experimento-140-Profundidad de enfoque extendida-12-Exportar imagen-05_m12_DAPI.tif,1096,0.695,6.34E-04,4.341,255,,46
Experimento-140-Profundidad de enfoque extendida-12-Exportar imagen-05_m13_DAPI.tif,1120,0.766,6.84E-04,4.786,255,,46
Experimento-140-Profundidad de enfoque extendida-12-Exportar imagen-05_m14_DAPI.tif,1139,0.741,6.51E-04,4.63,255,,46
Experimento-140-Profundidad de enfoque extendida-12-Exportar imagen-05_m15_DAPI.tif,1069,0.433,4.05E-04,2.706,255,,46
Experimento-140-Profundidad de enfoque extendida-12-Exportar imagen-05_m16_DAPI.tif,980,0.557,5.69E-04,3.482,255,,46
Experimento-141-Profundidad de enfoque extendida-15-Exportar imagen-06_m01_DAPI.tif,280,0.018,6.26E-05,0.109,255,,46
Experimento-141-Profundidad de enfoque extendida-15-Exportar imagen-06_m02_DAPI.tif,31,0.002,5.56E-05,0.011,255,,46
Experimento-141-Profundidad de enfoque extendida-15-Exportar imagen-06_m03_DAPI.tif,20,0.001,5.56E-05,0.007,255,,46
Experimento-141-Profundidad de enfoque extendida-15-Exportar imagen-06_m04_DAPI.tif,157,0.007,4.19E-05,0.041,255,,46
Experimento-141-Profundidad de enfoque extendida-15-Exportar imagen-06_m05_DAPI.tif,239,0.013,5.25E-05,0.078,255,,46
Experimento-141-Profundidad de enfoque extendida-15-Exportar imagen-06_m06_DAPI.tif,12,4.00E-04,3.33E-05,0.002,255,,46
Experimento-141-Profundidad de enfoque extendida-15-Exportar imagen-06_m07_DAPI.tif,288,0.198,6.87E-04,1.236,255,,46
Experimento-141-Profundidad de enfoque extendida-15-Exportar imagen-06_m08_DAPI.tif,53,0.005,9.46E-05,0.031,255,,46
Experimento-141-Profundidad de enfoque extendida-15-Exportar imagen-06_m09_DAPI.tif,497,2.603,0.005,16.262,255,,46
Experimento-141-Profundidad de enfoque extendida-15-Exportar imagen-06_m10_DAPI.tif,94,0.004,4.03E-05,0.024,255,,46
Experimento-141-Profundidad de enfoque extendida-15-Exportar imagen-06_m11_DAPI.tif,276,0.014,5.19E-05,0.089,255,,46
Experimento-141-Profundidad de enfoque extendida-15-Exportar imagen-06_m12_DAPI.tif,138,0.007,5.34E-05,0.046,255,,46
Experimento-141-Profundidad de enfoque extendida-15-Exportar imagen-06_m13_DAPI.tif,76,0.002,3.22E-05,0.015,255,,46
Experimento-141-Profundidad de enfoque extendida-15-Exportar imagen-06_m14_DAPI.tif,69,0.003,4.61E-05,0.02,255,,46
Experimento-141-Profundidad de enfoque extendida-15-Exportar imagen-06_m15_DAPI.tif,154,0.006,3.94E-05,0.038,255,,46
Experimento-141-Profundidad de enfoque extendida-15-Exportar imagen-06_m16_DAPI.tif,703,0.822,0.001,5.133,255,,46
Experimento-142-Profundidad de enfoque extendida-22-Exportar imagen-07_m01_DAPI.tif,924,0.137,1.49E-04,0.858,255,,46
Experimento-142-Profundidad de enfoque extendida-22-Exportar imagen-07_m02_DAPI.tif,1016,0.122,1.20E-04,0.761,255,,46
Experimento-142-Profundidad de enfoque extendida-22-Exportar imagen-07_m03_DAPI.tif,1029,0.131,1.27E-04,0.818,255,,46
Experimento-142-Profundidad de enfoque extendida-22-Exportar imagen-07_m04_DAPI.tif,1054,0.177,1.68E-04,1.107,255,,46
Experimento-142-Profundidad de enfoque extendida-22-Exportar imagen-07_m05_DAPI.tif,956,0.104,1.09E-04,0.648,255,,46
Experimento-142-Profundidad de enfoque extendida-22-Exportar imagen-07_m06_DAPI.tif,592,0.057,9.64E-05,0.356,255,,46
Experimento-142-Profundidad de enfoque extendida-22-Exportar imagen-07_m07_DAPI.tif,258,0.028,1.10E-04,0.177,255,,46
Experimento-142-Profundidad de enfoque extendida-22-Exportar imagen-07_m08_DAPI.tif,358,0.037,1.03E-04,0.23,255,,46
Experimento-142-Profundidad de enfoque extendida-22-Exportar imagen-07_m09_DAPI.tif,146,0.02,1.40E-04,0.127,255,,46
Experimento-142-Profundidad de enfoque extendida-22-Exportar imagen-07_m10_DAPI.tif,286,0.031,1.08E-04,0.193,255,,46
Experimento-142-Profundidad de enfoque extendida-22-Exportar imagen-07_m11_DAPI.tif,442,0.056,1.27E-04,0.35,255,,46
Experimento-142-Profundidad de enfoque extendida-22-Exportar imagen-07_m12_DAPI.tif,448,0.046,1.03E-04,0.287,255,,46
Experimento-142-Profundidad de enfoque extendida-22-Exportar imagen-07_m13_DAPI.tif,371,0.045,1.22E-04,0.282,255,,46
Experimento-142-Profundidad de enfoque extendida-22-Exportar imagen-07_m14_DAPI.tif,198,0.019,9.60E-05,0.119,255,,46
Experimento-142-Profundidad de enfoque extendida-22-Exportar imagen-07_m15_DAPI.tif,184,0.021,1.16E-04,0.133,255,,46
Experimento-142-Profundidad de enfoque extendida-22-Exportar imagen-07_m16_DAPI.tif,147,0.02,1.34E-04,0.123,255,,46
Experimento-143-Profundidad de enfoque extendida-13-Exportar imagen-08_m01_DAPI.tif,165,15.877,0.096,99.182,255,,46
Experimento-143-Profundidad de enfoque extendida-13-Exportar imagen-08_m02_DAPI.tif,462,15.674,0.034,97.909,255,,46
Experimento-143-Profundidad de enfoque extendida-13-Exportar imagen-08_m03_DAPI.tif,308,15.783,0.051,98.594,255,,46
Experimento-143-Profundidad de enfoque extendida-13-Exportar imagen-08_m04_DAPI.tif,157,15.858,0.101,99.061,255,,46
Experimento-143-Profundidad de enfoque extendida-13-Exportar imagen-08_m05_DAPI.tif,128,15.913,0.124,99.407,255,,46
Experimento-143-Profundidad de enfoque extendida-13-Exportar imagen-08_m06_DAPI.tif,1266,14.864,0.012,92.849,255,,46
